MD,Inc,Azi
665,0.93,118.8
666,0.94,119.67
667,0.95,120.71
668,0.96,121.74
669,0.97,122.6
670,0.99,123.33
671,1.01,124.05
672,1.03,124.59
673,1.05,125.06
674,1.07,125.41
675,1.09,125.78
676,1.11,126.05
677,1.13,126.33
678,1.15,126.24
679,1.17,126.11
680,1.2,126.01
681,1.21,125.87
682,1.23,125.65
683,1.24,125.48
684,1.26,125.33
685,1.28,125.14
686,1.3,124.96
687,1.31,124.76
688,1.33,124.53
689,1.35,124.35
690,1.37,124.25
691,1.39,124.16
692,1.41,124.1
693,1.43,124.17
694,1.45,124.2
695,1.47,124.18
696,1.49,124.11
697,1.51,123.91
698,1.52,123.69
699,1.53,123.4
700,1.54,123.02
701,1.55,122.48
702,1.56,121.9
703,1.56,121.27
704,1.56,120.54
705,1.56,119.9
706,1.56,119.32
707,1.55,118.89
708,1.55,118.6
709,1.54,118.41
710,1.53,118.4
711,1.52,118.59
712,1.51,118.94
713,1.51,119.42
714,1.5,119.92
715,1.5,120.51
716,1.5,121.09
717,1.5,121.64
718,1.5,122.18
719,1.51,122.73
720,1.52,123.31
721,1.53,123.82
722,1.54,124.29
723,1.55,124.7
724,1.56,124.98
725,1.58,125.25
726,1.59,125.39
727,1.6,125.44
728,1.62,125.36
729,1.63,125.18
730,1.64,124.89
731,1.64,124.55
732,1.65,124.24
733,1.65,123.97
734,1.65,123.76
735,1.65,123.62
736,1.66,123.53
737,1.66,123.53
738,1.66,123.64
739,1.66,123.9
740,1.67,124.25
741,1.67,124.59
742,1.68,124.89
743,1.69,125.11
744,1.7,125.22
745,1.72,125.24
746,1.73,125.15
747,1.74,124.9
748,1.76,124.52
749,1.77,124.02
750,1.78,123.46
751,1.78,122.95
752,1.79,122.5
753,1.79,122.14
754,1.79,121.9
755,1.79,121.77
756,1.8,121.76
757,1.8,121.85
758,1.8,122.08
759,1.81,122.44
760,1.81,122.93
761,1.82,123.49
762,1.84,124.03
763,1.86,124.56
764,1.88,125.08
765,1.9,125.54
766,1.93,125.99
767,1.95,126.42
768,1.98,126.84
769,2.01,127.2
770,2.04,127.4
771,2.07,127.5
772,2.1,127.54
773,2.13,127.57
774,2.16,127.61
775,2.19,127.66
776,2.21,127.75
777,2.24,127.86
778,2.26,128.02
779,2.29,128.28
780,2.31,128.61
781,2.34,129.04
782,2.36,129.52
783,2.39,129.97
784,2.42,130.37
785,2.44,130.7
786,2.47,130.88
787,2.49,130.88
788,2.52,130.72
789,2.54,130.38
790,2.55,129.86
791,2.57,129.26
792,2.58,128.65
793,2.58,128.05
794,2.59,127.51
795,2.59,127.03
796,2.58,126.62
797,2.58,126.42
798,2.58,126.46
799,2.58,126.65
800,2.58,126.95
801,2.58,127.39
802,2.58,127.81
803,2.59,128.05
804,2.6,128.4
805,2.61,128.87
806,2.63,129.18
807,2.65,129.42
808,2.68,129.63
809,2.7,129.8
810,2.72,129.86
811,2.73,129.94
812,2.75,130.06
813,2.77,130.19
814,2.79,130.31
815,2.81,130.44
816,2.84,130.56
817,2.88,130.56
818,2.9,130.51
819,2.92,130.43
820,2.94,130.31
821,2.96,130.14
822,2.97,130.04
823,2.99,129.89
824,3.01,129.66
825,3.02,129.4
826,3.03,129.18
827,3.03,129.02
828,3.04,128.82
829,3.04,128.6
830,3.04,128.52
831,3.05,128.6
832,3.05,128.81
833,3.06,129.1
834,3.07,129.57
835,3.08,130.03
836,3.09,130.35
837,3.11,130.66
838,3.13,130.9
839,3.15,131.08
840,3.16,131.19
841,3.17,131.25
842,3.19,131.31
843,3.21,131.38
844,3.23,131.46
845,3.26,131.59
846,3.28,131.72
847,3.31,131.92
848,3.33,132.23
849,3.36,132.51
850,3.39,132.79
851,3.41,133
852,3.44,133.13
853,3.46,133.16
854,3.48,133.05
855,3.5,132.91
856,3.51,132.79
857,3.52,132.71
858,3.53,132.7
859,3.53,132.73
860,3.54,132.82
861,3.54,133.04
862,3.54,133.38
863,3.55,133.85
864,3.56,134.4
865,3.57,134.98
866,3.58,135.59
867,3.6,136.12
868,3.62,136.56
869,3.64,136.93
870,3.67,137.24
871,3.69,137.49
872,3.72,137.69
873,3.74,137.83
874,3.77,137.92
875,3.8,138.03
876,3.83,138.17
877,3.86,138.34
878,3.89,138.55
879,3.91,138.8
880,3.94,139.07
881,3.97,139.27
882,4,139.37
883,4.03,139.34
884,4.05,139.18
885,4.07,138.9
886,4.09,138.58
887,4.1,138.29
888,4.12,138.11
889,4.13,138.08
890,4.13,138.17
891,4.14,138.27
892,4.14,138.35
893,4.14,138.44
894,4.15,138.54
895,4.16,138.65
896,4.17,138.84
897,4.18,139.1
898,4.19,139.36
899,4.21,139.6
900,4.22,139.79
901,4.24,139.9
902,4.26,139.97
903,4.28,140.06
904,4.3,140.19
905,4.32,140.41
906,4.35,140.66
907,4.37,140.87
908,4.4,141.02
909,4.42,141.1
910,4.45,141.08
911,4.47,140.92
912,4.49,140.63
