MD,Inc,Azi,TVD,NS,EW,Section,DLS,Build,Turn,Rugosity,Target 
2800,18.37,154.92,2703.7223438422247,-514.7769623032724,279.08935842633844,488.4938402196793,0.23663491107330997,-0.16999999999999582,0.5199999999999677,nan,185
2900,18.41,155.88,2798.6156716999867,-543.4610293347063,292.2216444567536,515.9242015731465,0.3054907804134305,0.03999999999999751,0.9600000000000166,nan,185
3000,17.88,156.82,2893.642682952833,-571.9853234168055,304.71719267723927,543.250893318348,0.6054550568206203,-0.530000000000002,0.9399999999999923,nan,185
3100,18.27,158.07,2988.7079822783357,-600.6380555136404,316.6139578666144,570.7577217126835,0.5499886465928403,0.39000000000000123,1.2499999999999987,nan,185
3200,18.86,159.09,3083.504124594729,-630.2773416164301,328.2367369407469,599.2712294405092,0.6734485707321055,0.5900000000000014,1.020000000000013,nan,185
3300,19.4,159.92,3177.9816974999394,-660.9745413980115,339.70745378131187,628.8518782630961,0.6046233937634616,0.5399999999999983,0.8299999999999993,nan,185
3400,20.48,160.5,3271.985425931173,-693.0646343200715,351.2495059440188,659.8139025642507,1.0979514141366926,1.0800000000000027,0.5799999999999894,nan,185
3500,21.65,160.96,3365.3011963236822,-726.9940113367371,363.10741258704,692.5806833969041,1.1816157661384028,1.1699999999999973,0.46000000000002234,nan,185
3600,22.56,160.91,3457.949802917455,-762.5599558192554,375.3992387261415,726.9399854861357,0.9101944138781319,0.9100000000000007,-0.05000000000002233,nan,185
3700,23.14,160.64,3550.1018981107154,-799.2257854381462,388.18673674908274,762.3517866655365,0.5893989020413563,0.5800000000000021,-0.2700000000000087,nan,185
3800,24.18,161.39,3641.6951495044746,-837.1741852388901,401.23655315198204,799.0184149067882,1.0826575224183443,1.039999999999999,0.7500000000000042,nan,185
3900,25.69,163.42,3732.3728746891197,-877.3605220568113,413.9583439487783,837.9430534545552,1.7354672737999368,1.5100000000000018,2.030000000000001,nan,185
4000,26.73,163.78000000000003,3822.0898304614675,-919.7297765271709,426.42562708752405,879.0644847980244,1.0520794471138672,1.039999999999999,0.3600000000000285,nan,185
4100,28.0,163.99,3910.8976673493426,-963.8888920954892,439.1821482050173,921.9437575267326,1.2736612585521554,1.2700000000000005,0.20999999999998697,nan,185
4200,28.31,163.6,3999.0650676713026,-1009.1995063639469,452.3512318490969,965.9341899619448,0.3605053052357951,0.3099999999999966,-0.39000000000000123,nan,185
4300,28.48,163.16,4087.034140726222,-1054.7671009499618,465.9533662237519,1010.1428819689503,0.2695945390098129,0.17000000000000212,-0.43999999999999806,nan,185
4400,28.44,162.79,4174.94921013583,-1100.3330796785174,479.90592352059383,1054.319422897263,0.18080166333550055,-0.03999999999999751,-0.37000000000000244,nan,185
4500,28.56,162.67,4262.830912653908,-1145.8976928529366,494.071653333054,1098.4760242588532,0.13296083869869346,0.11999999999999572,-0.12000000000001798,nan,185
4600,29.44,162.58,4350.2920279337195,-1192.165879089316,508.54960881736287,1143.306309114153,0.8810808270726072,0.8800000000000026,-0.08999999999996895,nan,185
4700,30.320000000000004,162.88,4436.998294965475,-1239.7383043922239,523.3376229174486,1189.40884662362,0.8925987273292989,0.8800000000000026,0.29999999999998134,nan,185
4800,30.91,163.08,4523.058810469585,-1288.4344744304358,538.2433163750372,1236.6205962485956,0.5987263311889783,0.5899999999999951,0.200000000000013,nan,185
4900,31.5,163.36,4608.5903833124585,-1338.0385498227906,553.1996543512029,1284.732382413105,0.607571495192127,0.5900000000000014,0.280000000000008,nan,185
5000,30.970000000000002,164.02,4694.095098269706,-1387.8051625334438,567.7642327150036,1333.0402314923394,0.6308893853263307,-0.5299999999999988,0.6599999999999844,nan,185
5100,31.120000000000005,163.72,4779.77137850169,-1437.3458828175355,582.0918372481349,1381.1437013641182,0.21549025636548783,0.15000000000000338,-0.30000000000000676,nan,185
5200,31.0,163.88,4865.434126082781,-1486.8907512980518,596.4860825869043,1429.2454955182686,0.14565171164021137,-0.12000000000000526,0.1600000000000155,nan,185
5300,30.06,163.33,4951.569660305796,-1535.6240856703457,610.8209267172927,1476.5440208529242,0.9806343949270029,-0.9399999999999987,-0.5499999999999913,nan,185
5400,29.42,162.99,5038.397812334607,-1583.1033261625223,625.1904271108262,1522.5902040209426,0.6618487915553003,-0.6399999999999983,-0.34000000000000424,nan,185
5500,28.27,162.96,5125.989146637745,-1629.2325953297122,639.3153313111992,1567.3128708753206,1.150091039211942,-1.1500000000000017,-0.02999999999999813,nan,185
5600,27.57,163.67,5214.349068763173,-1674.0830577203928,652.7618085183781,1610.8207260075494,0.7749227638887962,-0.700000000000001,0.7099999999999812,nan,185
5700,27.6,164.34,5302.981768267089,-1718.596125898176,665.5213805033511,1654.0523385485606,0.31169851839774704,0.030000000000001314,0.6700000000000093,nan,185
5800,27.44,164.88,5391.666839450114,-1763.1444929100921,677.7842857065939,1697.3624029632435,0.2964036191691469,-0.1599999999999996,0.5399999999999918,nan,185
5900,27.49,165.34,5480.396211397156,-1807.7162029769124,689.6354103541269,1740.7316106456417,0.2179668566414913,0.049999999999996894,0.45999999999999686,nan,185
6000,27.05,166.33,5569.282183123377,-1852.139259383628,700.850343208472,1784.0081781082572,0.6319324636329825,-0.43999999999999806,0.9900000000000148,nan,185
6100,26.59,167.6,5658.525525017629,-1896.0922181637966,711.0300430282676,1826.9066633117636,0.7347839463808089,-0.46,1.2699999999999974,nan,185
6200,26.15,168.85,5748.120450668736,-1939.5710313125767,720.0972762344373,1869.42976500515,0.7083965840000065,-0.4400000000000013,1.2499999999999987,nan,185
6300,25.700000000000003,170.53,5838.058161263509,-1982.5794838647475,727.9262540410373,1911.5922170350634,0.8613367231170709,-0.44999999999999746,1.679999999999997,nan,185
6400,24.960000000000004,171.98,5928.444282014213,-2024.860849876917,734.4376741462091,1953.1451820288553,0.9655810853071018,-0.7399999999999985,1.449999999999986,nan,185
6500,25.1,173.23,6019.0535408249825,-2066.81615932385,739.8817767892207,1994.4663540472427,0.5470722182521875,0.13999999999999765,1.2499999999999987,nan,185
6600,25.09,174.14,6109.614464531843,-2108.9696740196105,744.546801874918,2036.052878166811,0.38607575569163993,-0.009999999999999377,0.9099999999999944,nan,185
6700,25.590000000000003,173.89,6199.992601745029,-2151.534966048673,749.0101930390653,2078.0671862368054,0.5113192233856021,0.5000000000000007,-0.24999999999998443,nan,185
6800,26.250000000000004,173.84,6289.932630729197,-2194.99593170985,753.6819114866252,2120.9556027112126,0.6603617213998944,0.6600000000000003,-0.049999999999996894,nan,185
6900,26.44,174.38,6379.546536964339,-2239.138792515977,758.2351419746419,2164.5336464197935,0.3058195750404798,0.1900000000000009,0.5399999999999918,nan,185
7000,26.23,176.06,6469.169311008753,-2283.3420232758654,761.9338690231882,2208.2463052381836,0.7742747000798683,-0.21000000000000285,1.6800000000000228,nan,185
7100,26.32,176.86,6558.837554394958,-2327.5246450917484,764.6666633454942,2252.0226201200217,0.36539838728453894,0.09000000000000076,0.8000000000000012,nan,185
7200,26.37,177.97,6648.451920179525,-2371.8552112261004,766.6676939246189,2296.0100937600837,0.49511516164368224,0.05000000000000007,1.109999999999982,nan,185
7300,26.54,178.37,6737.980412354835,-2416.381732622314,768.0898698164781,2340.2432275032875,0.24628050910665383,0.16999999999999896,0.4000000000000006,nan,185
7400,26.250000000000004,177.96,6827.555448135466,-2460.8143679207574,769.5125798217915,2384.3827858626137,0.3425211117174525,-0.28999999999999787,-0.4099999999999999,nan,185
7500,25.65,177.18000000000004,6917.472928656892,-2504.532734691631,771.3646463165819,2427.7733728180165,0.6902765255422519,-0.600000000000004,-0.7799999999999769,nan,185
7600,25.28,176.42,7007.757826505851,-2547.4608652337215,773.7627649945883,2470.329139048459,0.4936310829938485,-0.369999999999996,-0.7600000000000291,nan,185
7700,24.72,175.77,7098.388418057893,-2589.6239795149827,776.6383361586055,2512.081187409864,0.6237399810572216,-0.5600000000000034,-0.649999999999985,nan,185
7800,24.36,175.1,7189.355601087795,-2631.0245042220295,779.9422144382571,2553.0362186558295,0.4550050139441582,-0.3599999999999999,-0.6700000000000093,nan,185
7900,23.37,174.17,7280.804919147874,-2671.304486294351,783.7185294089397,2592.833795699388,1.0590623884949961,-0.9899999999999989,-0.9300000000000185,nan,185
8000,22.95,175.46,7372.7463278677,-2710.470908604912,787.2764237083517,2631.5410870281084,0.6586213349406713,-0.41999999999999926,1.2900000000000216,nan,185
8100,21.97,177.32,7465.161032407767,-2748.593131178926,789.6944043733979,2669.307502135003,1.2104023157040695,-0.9800000000000026,1.859999999999986,nan,185
8200,21.07,180.07,7558.191435665494,-2785.2558252991053,790.5471361548679,2705.7563631635066,1.3516753237210575,-0.8999999999999981,2.7500000000000067,nan,185
8294,20.6,182.5,7646.046061377958,-2818.6743404452686,789.8051599831745,2739.112378254558,1.0465194147613959,-0.49999999999999933,2.585106382978725,nan,185
