MD,Inc,Azi,TVD,NS,EW,Section,DLS,Build,Turn,Rugosity,Target 
2100,20.83,152.59,2042.73314395869,-307.89160092456325,177.4442672588763,291.2546935187682,0.454503091417712,-0.25514965433657266,0.0074255764506087445,0.02537242726437043,185
2200,20.23,153.01,2136.401843861417,-339.0288807970347,193.4609272893826,320.8775427394275,0.24873749271818357,-0.19632091989881928,0.004129720925776259,0.48813241068622537,185
2300,19.85,153.67,2230.3359994713755,-369.68138490344523,208.85126444322657,350.07204854768906,0.3712516157780026,-0.2489572066729046,0.006138776269419833,-0.4029436920789493,185
2400,19.1,154.08,2324.6170384978013,-399.6097995921774,223.51493584612618,378.60855341036785,0.3117060547141555,-0.1767105432155799,0.0051427995144750355,0.16790651088901445,185
2500,18.85,154.22,2419.1974934670516,-428.84416792911827,237.65720874347,406.4990958511814,0.14031883537542808,-0.03791775108146733,0.002325230468752899,-0.3322743515167241,185
2600,18.55,154.04,2513.9224746011037,-457.6772895382983,251.64743405471444,434.00317024947253,0.08473349425779449,-0.04308328335099062,0.0014006374835405747,1.5980612495811302,185
2700,18.54,154.4,2608.7322329318745,-486.3027422727762,265.4938110445004,461.31290322312634,0.10044158032113192,-0.09792083515563953,0.0017247712587660302,-1.850634440345041,185
2800,18.37,154.92,2703.5942208480224,-514.8930653728305,279.04923247910136,488.6129986887402,0.1387561019557074,-0.12388925805143897,0.002421677084809699,1.9859613195524484,185
2900,18.41,155.88,2798.4725344862622,-543.6157661897031,292.207672539766,516.0795673404964,0.2508271275627316,-0.22704215456347338,0.004262497056528696,-1.4847120215151608,185
3000,17.88,156.82,2893.504447240573,-572.1214312155993,304.7018961358542,543.3878163673011,0.2256166832114876,-0.22228202954659584,0.0038917518511255664,2.395889515565378,185
3100,18.27,158.07,2988.6079537016853,-600.6644691275718,316.55818578810414,570.7888956717667,0.4350111753251862,-0.0631938720349543,0.0073027649174070555,0.04687407027049039,185
3200,18.86,159.09,3083.395450853881,-630.330699634723,328.18121138097376,599.3292237868368,0.32536924340253964,-0.06469213253950573,0.005460971461734121,-0.13759089917274164,185
3300,19.4,159.92,3177.8878432500683,-660.9921775419207,339.6296877866595,628.8762250491775,0.47117448115330046,0.02250178133790501,0.0077893492026581135,0.2459539759990663,185
3400,20.48,160.5,3271.9122086778316,-693.0286378700096,351.1479806480136,659.78689160413,0.7064995195718874,0.1147070039646074,0.011573896260495445,-0.028150458054349833,185
3500,21.65,160.96,3365.2211930484473,-726.9794179272919,362.99887597010604,692.5756051092519,0.6252076695095218,0.14067154318566732,0.010146702171102216,0.11765046276254763,185
3600,22.56,160.91,3457.8469601741476,-762.6078633980765,375.28106694223595,726.9980101117536,0.39056489626017055,0.17760968258913856,0.0063103726684238404,0.21755151711332615,185
3700,23.14,160.64,3550.0000709531682,-799.2661244455785,388.0816817392972,762.401128318274,0.3971341189134497,0.125493660301521,0.006382254535921767,-0.3112944411809965,185
3800,24.18,161.39,3641.6368655889946,-837.0883997847504,401.2044557364901,798.9357533662883,0.9160139575076592,-0.16344276411614786,0.014864975179334996,-0.22953039904238698,185
3900,25.69,163.42,3732.3002439320358,-877.3017759349989,413.91398718288025,837.8883968263499,0.7895875274887291,-0.1189803429845148,0.012689428731412902,0.32291614159587545,185
4000,26.73,163.78000000000003,3822.0163779368404,-919.6999849196492,426.31535855313,879.0444170925808,0.6903721048041632,0.139290368232872,0.010724908731561336,-0.16237879184073747,185
4100,28.0,163.99,3910.798124220437,-963.9043734705781,439.0734127715814,921.9686569079795,0.4888491284788385,0.13118152347570144,0.007562864065804867,0.3946808713315457,185
4200,28.31,163.6,3998.9166762294353,-1009.3143601758342,452.2377900721315,966.0584938227324,0.15501227292833689,0.1495503898939404,0.002635592205046936,-0.7452720437867542,185
4300,28.48,163.16,4086.8828144214363,-1054.8847525300012,465.84648018264664,1010.2694015815096,0.12631364319947902,0.12362607431881434,0.0021641512525627233,1.0222829045179653,185
4400,28.44,162.79,4174.785316357669,-1100.468951828178,479.81868179211307,1054.4623816300175,0.08156524870932023,0.046194295389350104,0.0013542843196190139,0.4056211955372141,185
4500,28.56,162.67,4262.709439620899,-1145.9575184888843,493.96783020516597,1098.5446710220197,0.2981101295145214,0.11148948030122655,0.004573606090606045,-0.01639489201443768,185
4600,29.44,162.58,4350.205954127692,-1192.1586238683346,508.4427601678169,1143.3083939748908,0.5881557626520715,0.12228418928303515,0.00894676703996674,-0.20545043867805188,185
4700,30.320000000000004,162.88,4436.885819769584,-1239.7700359204075,523.2589620199219,1189.447313152708,0.39062140909266824,0.010064057804742118,0.005944384947734972,0.008656464083142544,185
4800,30.91,163.08,4522.951971753353,-1288.4620987800454,538.1494137116337,1236.65629963559,0.4215140485427372,0.06957264660730061,0.006311617232392274,0.0775616004663492,185
4900,31.5,163.36,4608.423802416302,-1338.1486067192272,553.1711506071998,1284.8445047748035,0.19136193734880602,-0.1886098428266274,0.003328738941303394,-3.7196784030267933,185
5000,30.970000000000002,164.02,4693.905976276132,-1387.9594833543688,567.7097349753174,1333.1987148669307,0.19913460455272375,-0.08678964049996876,0.002995108787126391,-1.1847403958247693,185
5100,31.120000000000005,163.72,4779.628180685036,-1437.432154519953,581.9977093799895,1381.2378485609236,0.15998367227381685,0.06926147257645993,0.0024151676253212056,-1.4855944415780755,185
5200,31.0,163.88,4865.221361632717,-1487.0893784988696,596.424500011466,1429.4487341577228,0.3810859242520998,-0.05897693625887596,0.005729186687234242,-0.6198885638392163,185
5300,30.06,163.33,4951.344746075073,-1535.8484237238729,610.7315919381564,1476.775291271457,0.4906176817183115,0.048970688220370255,0.0075341379827932094,-0.010959454240545452,185
5400,29.42,162.99,5038.170129085668,-1583.3275196696304,625.1306936934664,1522.818750514427,0.4976240289903483,-0.0682694063581075,0.007605774454658312,0.09572839993659185,185
5500,28.27,162.96,5125.742057643576,-1629.4755858641342,639.3033598568096,1567.5559801383981,0.6484392316016,-0.25828966365173645,0.009986163373322999,0.3312787175964828,185
5600,27.57,163.67,5214.163807540052,-1674.2070722027318,652.743549517114,1610.9458599541588,0.24506971347954937,-0.23432817561652405,0.004163057572229864,1.1635818402764422,185
5700,27.6,164.34,5302.808192426379,-1718.7022935045447,665.483471098079,1654.161406177508,0.15934561489266796,-0.15704197726252114,0.00277630202755726,-1.5369557433737302,185
5800,27.44,164.88,5391.493031831092,-1763.2537371194385,677.7358727387195,1697.4754509335653,0.11686534074874687,-0.11577231878344457,0.00203294122189181,1.994789524645947,185
5900,27.49,165.34,5480.214529244977,-1807.8363870165322,689.6060593042729,1740.8538954612566,0.19745450069013096,-0.1909205255827239,0.0033744356923528,-1.1955991400144108,185
6000,27.05,166.33,5569.0749969105145,-1852.298062247776,700.8673116864364,1784.1648977792624,0.43878584830551176,-0.3738380301546715,0.007275322248736695,0.17991752992428306,185
6100,26.59,167.6,5658.322674070093,-1896.2437481925192,711.0415467554162,1827.0566141070947,0.4034434907595789,-0.3528599788213554,0.006748681542237319,-0.14447201807949497,185
6200,26.15,168.85,5747.921519125893,-1939.711543785839,720.1221240422047,1869.5675771568876,0.43297493998595876,-0.40588223617269464,0.0073719793564590765,0.28751754076741476,185
6300,25.700000000000003,170.53,5837.836451134673,-1982.7659713562248,727.9653636624768,1911.7745862572283,0.5801199624150133,-0.4626455979506276,0.009635239476962274,-0.491716553357205,185
6400,24.960000000000004,171.98,5928.246844930881,-2024.997990636155,734.4451715576151,1953.2811474836406,0.3640107224323234,-0.3387205744123116,0.006219812532489905,1.3691575668904759,185
6500,25.1,173.23,6018.882539012121,-2066.898629162098,739.8754761588369,1994.5490591989783,0.3044747480793901,-0.28452795107953116,0.005283435821493526,-0.9675490965926521,185
6600,25.09,174.14,6109.444502274807,-2109.0558695198697,744.4828929846946,2036.1443156939638,0.11193242627517551,-0.057657371967563445,0.0018369346522896306,3.614707796963777,185
6700,25.590000000000003,173.89,6199.856914296953,-2151.5530456707593,748.9016696646443,2078.094655495774,0.41343823076920083,0.11797878813098549,0.006533608950227951,-0.2667491047279846,185
6800,26.250000000000004,173.84,6289.782797116101,-2195.0390682481648,753.6042909103505,2121.005340180953,0.28313907722085196,-0.003962417884057646,0.004445324551197479,-0.1565104997964581,185
6900,26.44,174.38,6379.357636101385,-2239.2541073497405,758.2416535211505,2164.6479549271276,0.3380579479111342,-0.335432362566603,0.005877894950121615,-0.4200082629470465,185
7000,26.23,176.06,6468.981086497816,-2283.453229703702,761.9408489691111,2208.356480149617,0.33857827248442696,-0.3374992998994414,0.005897549986271232,0.5217417377592745,185
7100,26.32,176.86,6558.660313114247,-2327.6171055418467,764.6430607373692,2252.1167858330346,0.22553367282673087,-0.2170598639420766,0.003915570561124633,-0.6791671083167825,185
7200,26.37,177.97,6648.277262767328,-2371.9412643477563,766.6487879606526,2296.097467186964,0.25161716341780704,-0.23561072499276728,0.004347634939489432,0.746899605545335,185
7300,26.54,178.37,6737.797425098318,-2416.4866671084005,768.0062373158561,2340.3550517346844,0.02058849904060872,0.019362271583589517,0.00035490770739834076,12.30623678767144,185
7400,26.250000000000004,177.96,6827.335886338073,-2460.9945580777116,769.3934431301667,2384.572673788467,0.35977725815042083,0.1592096406497758,0.005785804259149008,0.07326700463217241,185
7500,25.65,177.18000000000004,6917.2580977366615,-2504.7022517030396,771.2378082566905,2427.953299431337,0.3353517625999606,0.18945991363940415,0.0054859585945090696,-0.3172129287919201,185
7600,25.28,176.42,7007.542309762734,-2547.6329601171833,773.6437672089539,2470.510950399325,0.3279552653097043,0.15851575567459003,0.005344664517733961,0.3843511308759242,185
7700,24.72,175.77,7098.177991899232,-2589.782025801621,776.5298789239373,2512.2480849535104,0.2566161276900465,0.11688077573408881,0.004168813447667454,-0.4230475008578181,185
7800,24.36,175.1,7189.125055917667,-2631.2326301083954,779.8081693163448,2553.255235362525,0.4917870378069511,0.21761247008875392,0.008046547427422201,0.2216428502524426,185
7900,23.37,174.17,7280.572847905369,-2671.5034493970493,783.6540757218854,2593.0376191963796,0.4142898237032447,-0.056957333883244685,0.006617735620381883,1.2680970377079521,185
8000,22.95,175.46,7372.521738113543,-2710.6468931050067,787.3040549822604,2631.713993629848,0.5252864519699123,-0.41986818280397986,0.00886706829371561,-0.7296993583310164,185
8100,21.97,177.32,7464.909357766608,-2748.832074131071,789.7445562384382,2669.541164814028,0.775628019672951,-0.5089393249301317,0.012946490425706747,0.2550365495856709,185
8200,21.07,180.07,7557.949569185048,-2785.465422581613,790.6272993218112,2705.958176184718,0.6158561222845522,-0.5592738096544528,0.010648899614102569,-0.00620175614657725,185
8294,20.6,182.5,7645.790062130185,-2818.906556887162,789.8598616263436,2739.3389434804417,0.5820695475706327,-0.44567704044063233,0.009873113191843324,-0.33324580575288354,185
